Référence;Nom produit;Marque;Fournisseur;Catégorie;Catégorie par défaut;URL Photos;Prix d'achat;Description HTML;Quantité;TVA;P transport;Prix public;Prix original;Longueur;Profondeur;Hauteur
FGB118SGV;Matériel de cuisine professionnelle - 2 portes - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_fgb118sgv.pdf;1156.48;<h2>Arrière-bar - 2 portes vitrées - sans groupe</h2> <p>Alliant robustesse et performance, cet équipement AFI COLLIN-LUCY s'impose comme un choix fiable pour les professionnels de la restauration.</p> <h3>Équipements et finitions</h3><ul> <li>EXTÉRIEUR SKINPLATE NOIR INTÉRIEUR SKINPLATE BLANC</li> <li>ÉVAPORATEUR VENTILÉ PLACÉ ENTRE 2 PORTES (RÉPARTITION OPTIMALE DU FROID)</li> <li>CLASSE CLIMATIQUE 4</li> <li>Gaz réfrigérant : R600a</li> <li>Hauteur intérieure 740 mm</li> <li>Permet 3 niveaux de stockage (bouteilles debout)</li> <li>Thermostat digital</li> <li>Froid ventilé</li> <li>Construction robuste sur pieds réglables (70 mm)</li> <li>Isolation polyuréthane injecté : 40 mm</li> <li>Régulation thermostatique</li> <li>Éclairage</li> <li>Dotation : 2 clayettes ajustables par porte</li> <li>POUR GROUPE À DISTANCE : Ils sont équipés de l’évaporateur + capillaire, de l’éclairage, d’un thermostat digital</li> <li>Nb portes : 2</li> <li>Capacité (bouteilles | canettes) : 216-264 | 396-432</li> <li>Volume : 265 L</li> <li>Puissance : 320 W</li> <li>Poids: 59 kg</li> <li>Dimensions (L x P x H) : 1180 x 565 x 890 mm</li> </ul>;1;20;80;1807.0;1807.0;1180;565;890
FGB138SGV;Équipement professionnel de cuisine - 2 portes - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_fgb138sgv.pdf;1199.36;<h2>Arrière-bar - 2 portes vitrées - sans groupe</h2> <p>Pensé pour une utilisation intensive, cet équipement AFI COLLIN-LUCY répond aux contraintes du quotidien en cuisine professionnelle.</p> <h3>Équipements et finitions</h3><ul> <li>EXTÉRIEUR SKINPLATE NOIR INTÉRIEUR SKINPLATE BLANC</li> <li>ÉVAPORATEUR VENTILÉ PLACÉ ENTRE 2 PORTES (RÉPARTITION OPTIMALE DU FROID)</li> <li>CLASSE CLIMATIQUE 4</li> <li>Gaz réfrigérant : R600a</li> <li>Hauteur intérieure 740 mm</li> <li>Permet 3 niveaux de stockage (bouteilles debout)</li> <li>Thermostat digital</li> <li>Froid ventilé</li> <li>Construction robuste sur pieds réglables (70 mm)</li> <li>Isolation polyuréthane injecté : 40 mm</li> <li>Régulation thermostatique</li> <li>Éclairage</li> <li>Dotation : 2 clayettes ajustables par porte</li> <li>POUR GROUPE À DISTANCE : Ils sont équipés de l’évaporateur + capillaire, de l’éclairage, d’un thermostat digital</li> <li>Nb portes : 2</li> <li>Capacité (bouteilles | canettes) : 252-308 | 462-528</li> <li>Volume : 335 L</li> <li>Puissance : 320 W</li> <li>Poids: 76 kg</li> <li>Dimensions (L x P x H) : 1380 x 565 x 890 mm</li> </ul>;1;20;80;1874.0;1874.0;1380;565;890
FGB170SGV;Équipement professionnel de cuisine - 3 portes - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_fgb170sgv.pdf;1482.24;<h2>Arrière-bar - 3 portes vitrées - sans groupe</h2> <p>Fabriqué selon les standards professionnels les plus élevés, cet équipement AFI COLLIN-LUCY garantit durabilité et efficacité au quotidien.</p> <h3>Équipements et finitions</h3><ul> <li>EXTÉRIEUR SKINPLATE NOIR INTÉRIEUR SKINPLATE BLANC</li> <li>ÉVAPORATEUR VENTILÉ PLACÉ ENTRE 2 PORTES (RÉPARTITION OPTIMALE DU FROID)</li> <li>CLASSE CLIMATIQUE 4</li> <li>Gaz réfrigérant : R600a</li> <li>Hauteur intérieure 740 mm</li> <li>Permet 3 niveaux de stockage (bouteilles debout)</li> <li>Thermostat digital</li> <li>Froid ventilé</li> <li>Construction robuste sur pieds réglables (70 mm)</li> <li>Isolation polyuréthane injecté : 40 mm</li> <li>Régulation thermostatique</li> <li>Éclairage</li> <li>Dotation : 2 clayettes ajustables par porte</li> <li>POUR GROUPE À DISTANCE : Ils sont équipés de l’évaporateur + capillaire, de l’éclairage, d’un thermostat digital</li> <li>Nb portes : 3</li> <li>Capacité (bouteilles | canettes) : 360-440 | 630-744</li> <li>Volume : 432 L</li> <li>Puissance : 320 W</li> <li>Poids: 90 kg</li> <li>Dimensions (L x P x H) : 1700 x 565 x 890 mm</li> </ul>;1;20;80;2316.0;2316.0;1700;565;890
FGB199SGV;Équipement inox professionnel - 3 portes - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_fgb199sgv.pdf;1559.04;<h2>Arrière-bar - 3 portes vitrées - sans groupe</h2> <p>Cet équipement professionnel AFI COLLIN-LUCY a été conçu pour répondre aux exigences les plus strictes de la restauration et de la cuisine collective.</p> <h3>Équipements et finitions</h3><ul> <li>EXTÉRIEUR SKINPLATE NOIR INTÉRIEUR SKINPLATE BLANC</li> <li>ÉVAPORATEUR VENTILÉ PLACÉ ENTRE 2 PORTES (RÉPARTITION OPTIMALE DU FROID)</li> <li>CLASSE CLIMATIQUE 4</li> <li>Gaz réfrigérant : R600a</li> <li>Hauteur intérieure 740 mm</li> <li>Permet 3 niveaux de stockage (bouteilles debout)</li> <li>Thermostat digital</li> <li>Froid ventilé</li> <li>Construction robuste sur pieds réglables (70 mm)</li> <li>Isolation polyuréthane injecté : 40 mm</li> <li>Régulation thermostatique</li> <li>Éclairage</li> <li>Dotation : 2 clayettes ajustables par porte</li> <li>POUR GROUPE À DISTANCE : Ils sont équipés de l’évaporateur + capillaire, de l’éclairage, d’un thermostat digital</li> <li>Nb portes : 3</li> <li>Capacité (bouteilles | canettes) : 414-506 | 759-840</li> <li>Volume : 498 L</li> <li>Puissance : 320 W</li> <li>Poids: 100 kg</li> <li>Dimensions (L x P x H) : 1999 x 565 x 890 mm</li> </ul>;1;20;80;2436.0;2436.0;1999;565;890
FGB222SGV;Équipement inox professionnel - 4 portes - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_fgb222sgv.pdf;1962.24;<h2>Arrière-bar - 4 portes vitrées - sans groupe</h2> <p>Fabriqué selon les standards professionnels les plus élevés, cet équipement AFI COLLIN-LUCY garantit durabilité et efficacité au quotidien.</p> <h3>Équipements et finitions</h3><ul> <li>EXTÉRIEUR SKINPLATE NOIR INTÉRIEUR SKINPLATE BLANC</li> <li>ÉVAPORATEUR VENTILÉ PLACÉ ENTRE 2 PORTES (RÉPARTITION OPTIMALE DU FROID)</li> <li>CLASSE CLIMATIQUE 4</li> <li>Gaz réfrigérant : R600a</li> <li>Hauteur intérieure 740 mm</li> <li>Permet 3 niveaux de stockage (bouteilles debout)</li> <li>Thermostat digital</li> <li>Froid ventilé</li> <li>Construction robuste sur pieds réglables (70 mm)</li> <li>Isolation polyuréthane injecté : 40 mm</li> <li>Régulation thermostatique</li> <li>Éclairage</li> <li>Dotation : 2 clayettes ajustables par porte</li> <li>POUR GROUPE À DISTANCE : Ils sont équipés de l’évaporateur + capillaire, de l’éclairage, d’un thermostat digital</li> <li>Nb portes : 4</li> <li>Capacité (bouteilles | canettes) : 504-616 | 864-1056</li> <li>Volume : 597 L</li> <li>Puissance : 320 W</li> <li>Poids: 105 kg</li> <li>Dimensions (L x P x H) : 2220 x 565 x 890 mm</li> </ul>;1;20;80;3066.0;3066.0;2220;565;890
FGB260SGV;Équipement inox professionnel - 4 portes - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_fgb260sgv.pdf;2099.2;<h2>Arrière-bar - 4 portes vitrées - sans groupe</h2> <p>Cet équipement professionnel AFI COLLIN-LUCY a été conçu pour répondre aux exigences les plus strictes de la restauration et de la cuisine collective.</p> <h3>Équipements et finitions</h3><ul> <li>EXTÉRIEUR SKINPLATE NOIR INTÉRIEUR SKINPLATE BLANC</li> <li>ÉVAPORATEUR VENTILÉ PLACÉ ENTRE 2 PORTES (RÉPARTITION OPTIMALE DU FROID)</li> <li>CLASSE CLIMATIQUE 4</li> <li>Gaz réfrigérant : R600a</li> <li>Hauteur intérieure 740 mm</li> <li>Permet 3 niveaux de stockage (bouteilles debout)</li> <li>Thermostat digital</li> <li>Froid ventilé</li> <li>Construction robuste sur pieds réglables (70 mm)</li> <li>Isolation polyuréthane injecté : 40 mm</li> <li>Régulation thermostatique</li> <li>Éclairage</li> <li>Dotation : 2 clayettes ajustables par porte</li> <li>POUR GROUPE À DISTANCE : Ils sont équipés de l’évaporateur + capillaire, de l’éclairage, d’un thermostat digital</li> <li>Nb portes : 4</li> <li>Capacité (bouteilles | canettes) : 567-704 | 1056-1152</li> <li>Volume : 760 L</li> <li>Puissance : 320 W</li> <li>Poids: 152 kg</li> <li>Dimensions (L x P x H) : 2600 x 565 x 890 mm</li> </ul>;1;20;80;3280.0;3280.0;2600;565;890
NTFGB3;Kit de montage professionnel - GN 1/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGB 3-AFI.pdf;467.84;<h2>Kit tiroirs skinplate noir - 3 x gn 1/3</h2> <p>Conçu pour s'installer rapidement, ce kit AFI COLLIN-LUCY garantit des performances optimales et une compatibilité parfaite avec la gamme.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB118SG - FGB125 - FGB170SG - FGB177 - FGB222SG - FGB229</li> <li>Tiroirs : 1/3 - 1/3 - 1/3</li> <li>Dimensions int (L x P x H) : 280 x 410 x 190 mm</li> <li>Dimensions façade (L x P) : 260 x 440 mm</li> </ul>;1;20;80;731.0;731.0;;;
NTFGB2;Kit d'accessoires professionnel - GN 1/2 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGB 2-AFI.pdf;374.4;<h2>Kit tiroirs skinplate noir - 2 x gn 1/2</h2> <p>Ce kit AFI COLLIN-LUCY vous offre tous les éléments nécessaires pour compléter ou optimiser votre équipement professionnel en toute simplicité.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB118SG - FGB125 - FGB170SG - FGB177 - FGB222SG - FGB229</li> <li>Tiroirs : 1/2 - 1/2</li> <li>Dimensions int (L x P x H) : 280 x 410 x 330 mm</li> <li>Dimensions façade (L x P) : 395 x 440 mm</li> </ul>;1;20;80;585.0;585.0;;;
NTFGB1;Kit de montage professionnel - GN 2/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGB 1-AFI.pdf;355.84;<h2>Kit tiroirs skinplate noir - 1 x gn 2/3 + 1 x gn 1/3</h2> <p>Conçu pour s'installer rapidement, ce kit AFI COLLIN-LUCY garantit des performances optimales et une compatibilité parfaite avec la gamme.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB118SG - FGB125 - FGB170SG - FGB177 - FGB222SG - FGB229</li> <li>Tiroirs : 2/3 - 1/3</li> <li>Dimensions int (L x P x H) : 280 x 410 x 460 mm</li> <li>Dimensions façade (L x P) : 530 x 440 mm</li> </ul>;1;20;80;556.0;556.0;;;
NTFGB33;Kit d'accessoires professionnel - GN 1/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGB 33-AFI.pdf;505.6;<h2>Kit tiroirs skinplate noir - 3 x gn 1/3</h2> <p>Conçu pour s'installer rapidement, ce kit AFI COLLIN-LUCY garantit des performances optimales et une compatibilité parfaite avec la gamme.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB138SG - FGB145 - FGB199SG - FGB206 - FGB260SG - FGB267</li> <li>Tiroirs : 1/3 - 1/3 - 1/3</li> <li>Dimensions int (L x P x H) : 380 x 410 x 190 mm</li> <li>Dimensions façade (L x P) : 260 x 540 mm</li> </ul>;1;20;80;790.0;790.0;;;
NTFGB22;Kit de montage professionnel - GN 1/2 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGB 22-AFI.pdf;412.16;<h2>Kit tiroirs skinplate noir - 2 x gn 1/2</h2> <p>Ce kit AFI COLLIN-LUCY vous offre tous les éléments nécessaires pour compléter ou optimiser votre équipement professionnel en toute simplicité.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB138SG - FGB145 - FGB199SG - FGB206 - FGB260SG - FGB267</li> <li>Tiroirs : 1/2 - 1/2</li> <li>Dimensions int (L x P x H) : 380 x 410 x 330 mm</li> <li>Dimensions façade (L x P) : 395 x 540 mm</li> </ul>;1;20;80;644.0;644.0;;;
NTFGB11;Kit d'accessoires professionnel - GN 2/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGB 11-AFI.pdf;393.6;<h2>Kit tiroirs skinplate noir - 1 x gn 2/3 + 1 x gn 1/3</h2> <p>Ce kit AFI COLLIN-LUCY vous offre tous les éléments nécessaires pour compléter ou optimiser votre équipement professionnel en toute simplicité.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB138SG - FGB145 - FGB199SG - FGB206 - FGB260SG - FGB267</li> <li>Tiroirs : 2/3 - 1/3</li> <li>Dimensions int (L x P x H) : 380 x 410 x 460 mm</li> <li>Dimensions façade (L x P) : 530 x 540 mm</li> </ul>;1;20;80;615.0;615.0;;;
NTFGBI3;Kit de montage professionnel - inox - GN 1/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGBI 3-AFI.pdf;471.04;<h2>Kit tiroirs inox - 3 x gn 1/3</h2> <p>Ce kit AFI COLLIN-LUCY vous offre tous les éléments nécessaires pour compléter ou optimiser votre équipement professionnel en toute simplicité.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB125I - FGB177I - FGB229I</li> <li>Tiroirs : 1/3 - 1/3 - 1/3</li> <li>Dimensions int (L x P x H) : 280 x 410 x 190 mm</li> <li>Dimensions façade (L x P) : 260 x 440 mm</li> </ul>;1;20;80;736.0;736.0;;;
NTFGB2I;Kit de montage professionnel - inox - GN 1/2 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGBI 2-AFI.pdf;393.6;<h2>Kit tiroirs inox - 2 x gn 1/2</h2> <p>Conçu pour s'installer rapidement, ce kit AFI COLLIN-LUCY garantit des performances optimales et une compatibilité parfaite avec la gamme.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB125I - FGB177I - FGB229I</li> <li>Tiroirs : 1/2 - 1/2</li> <li>Dimensions int (L x P x H) : 280 x 410 x 330 mm</li> <li>Dimensions façade (L x P) : 395 x 440 mm</li> </ul>;1;20;80;615.0;615.0;;;
NTFGBI1;Kit d'accessoires professionnel - inox - GN 2/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGBI 1-AFI.pdf;359.68;<h2>Kit tiroirs inox - 1 x gn 2/3 + 1 x gn 1/3</h2> <p>Conçu pour s'installer rapidement, ce kit AFI COLLIN-LUCY garantit des performances optimales et une compatibilité parfaite avec la gamme.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB125I - FGB177I - FGB229I</li> <li>Tiroirs : 2/3 - 1/3</li> <li>Dimensions int (L x P x H) : 280 x 410 x 460 mm</li> <li>Dimensions façade (L x P) : 530 x 440 mm</li> </ul>;1;20;80;562.0;562.0;;;
NTFGBI33;Kit de montage professionnel - inox - GN 1/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGBI 33-AFI.pdf;524.16;<h2>Kit tiroirs inox - 3 x gn 1/3</h2> <p>Ce kit AFI COLLIN-LUCY vous offre tous les éléments nécessaires pour compléter ou optimiser votre équipement professionnel en toute simplicité.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB145I - FGB206I - FGB267I</li> <li>Tiroirs : 1/3 - 1/3 - 1/3</li> <li>Dimensions int (L x P x H) : 380 x 410 x 190 mm</li> <li>Dimensions façade (L x P) : 260 x 540 mm</li> </ul>;1;20;80;819.0;819.0;;;
NTFGBI22;Kit de montage professionnel - inox - GN 1/2 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGBI 22-AFI.pdf;430.72;<h2>Kit tiroirs inox - 2 x gn 1/2</h2> <p>Ce kit AFI COLLIN-LUCY vous offre tous les éléments nécessaires pour compléter ou optimiser votre équipement professionnel en toute simplicité.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB145I - FGB206I - FGB267I</li> <li>Tiroirs : 1/2 - 1/2</li> <li>Dimensions int (L x P x H) : 380 x 410 x 330 mm</li> <li>Dimensions façade (L x P) : 395 x 540 mm</li> </ul>;1;20;80;673.0;673.0;;;
NTFGBI11;Kit d'accessoires professionnel - inox - GN 2/3 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/NTFGBI 11-AFI.pdf;412.16;<h2>Kit tiroirs inox - 1 x gn 2/3 + 1 x gn 1/3</h2> <p>Conçu pour s'installer rapidement, ce kit AFI COLLIN-LUCY garantit des performances optimales et une compatibilité parfaite avec la gamme.</p> <h3>Équipements et finitions</h3><ul> <li>POUR FGB145I - FGB206I - FGB267I</li> <li>Tiroirs : 2/3 - 1/3</li> <li>Dimensions int (L x P x H) : 380 x 410 x 460 mm</li> <li>Dimensions façade (L x P) : 530 x 540 mm</li> </ul>;1;20;80;644.0;644.0;;;
F30/1;Clayette 350 x 405 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/F 30_1-AFI.pdf;17.92;<h2>Clayette 350 x 405 mm</h2> <p>Cet accessoire AFI COLLIN-LUCY s'adapte parfaitement à vos équipements réfrigérés pour maximiser leur capacité de rangement et faciliter l'organisation.</p> <h3>Équipements et finitions</h3><ul> <li>CLAYETTE 350 x 405 MM</li> </ul>;1;20;20;28.0;28.0;;;
F31/1;Clayette 400 x 405 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/F 31_1-AFI.pdf;16.0;<h2>Clayette 400 x 405 mm</h2> <p>Fabriqué dans des matériaux alimentaires certifiés, cet accessoire AFI COLLIN-LUCY complète idéalement votre installation frigorifique professionnelle.</p> <h3>Équipements et finitions</h3><ul> <li>CLAYETTE 400 x 405 MM</li> </ul>;1;20;20;25.0;25.0;;;
F32/1;Clayette 500 x 405 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/F 32_1-AFI.pdf;21.76;<h2>Clayette 500 x 405 mm</h2> <p>Compatible avec la gamme d'équipements AFI COLLIN-LUCY, cette clayette garantit un rangement optimal et une hygiène irréprochable.</p> <h3>Équipements et finitions</h3><ul> <li>CLAYETTE 500 x 405 MM</li> </ul>;1;20;20;34.0;34.0;;;
F30/2;Clayette 405 x 405 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/F 30_2-AFI.pdf;19.2;<h2>Clayette 405 x 405 mm</h2> <p>Compatible avec la gamme d'équipements AFI COLLIN-LUCY, cette clayette garantit un rangement optimal et une hygiène irréprochable.</p> <h3>Équipements et finitions</h3><ul> <li>CLAYETTE 405 x 405 MM</li> </ul>;1;20;20;30.0;30.0;;;
F31/2;Clayette 455 x 405 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/F 31_2-AFI.pdf;21.76;<h2>Clayette 455 x 405 mm</h2> <p>Cet accessoire AFI COLLIN-LUCY s'adapte parfaitement à vos équipements réfrigérés pour maximiser leur capacité de rangement et faciliter l'organisation.</p> <h3>Équipements et finitions</h3><ul> <li>CLAYETTE 455 x 405 MM</li> </ul>;1;20;20;34.0;34.0;;;
F32/2;Clayette 550 x 405 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/F 32_2-AFI.pdf;23.68;<h2>Clayette 550 x 405 mm</h2> <p>Fabriqué dans des matériaux alimentaires certifiés, cet accessoire AFI COLLIN-LUCY complète idéalement votre installation frigorifique professionnelle.</p> <h3>Équipements et finitions</h3><ul> <li>CLAYETTE 550 x 405 MM</li> </ul>;1;20;20;37.0;37.0;;;
MB30;Mini-bar hôtellerie professionnel - 24 L - 1 porte - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_mb30.pdf;293.76;<h2>Mini-bar d'hôtel - 1 porte pleine - 24 l</h2> <p>Ce mini-bar AFI COLLIN-LUCY est conçu pour l'hôtellerie et la restauration, offrant une réfrigération silencieuse et efficace dans un format compact.</p> <h3>Équipements et finitions</h3><ul> <li>TRÈS SILENCIEUX</li> <li>PORTE RÉVERSIBLE</li> <li>Réfrigération à absorption NH3 (Ammoniac)</li> <li>Éclairage LED</li> <li>Serrure de porte</li> <li>Température +5°C/+12°C</li> <li>Dégivrage automatique</li> <li>Gaz ammoniac</li> <li>Joints de portes clipsés</li> <li>Dotation : 2 clayettes</li> <li>Nb Clayettes : 1</li> <li>Capacité : 24 L</li> <li>Puissance : 65 W</li> <li>Poids: 16 kg</li> <li>Dimensions (L x P x H) : 402 x 439 x 496 mm</li> </ul>;1;20;20;459.0;459.0;402;439;496
MB40;Mini-bar hôtellerie professionnel - 34 L - 1 porte - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_mb40.pdf;317.44;<h2>Mini-bar d'hôtel - 1 porte pleine - 34 l</h2> <p>Discret et performant, ce réfrigérateur compact AFI COLLIN-LUCY est la solution idéale pour équiper chambres d'hôtel et espaces de service.</p> <h3>Équipements et finitions</h3><ul> <li>TRÈS SILENCIEUX</li> <li>PORTE RÉVERSIBLE</li> <li>Réfrigération à absorption NH3 (Ammoniac)</li> <li>Éclairage LED</li> <li>Serrure de porte</li> <li>Température +5°C/+12°C</li> <li>Dégivrage automatique</li> <li>Gaz ammoniac</li> <li>Joints de portes clipsés</li> <li>Dotation : 2 clayettes</li> <li>Nb Clayettes : 2</li> <li>Capacité : 34 L</li> <li>Puissance : 65 W</li> <li>Poids: 18 kg</li> <li>Dimensions (L x P x H) : 402 x 464 x 556 mm</li> </ul>;1;20;20;496.0;496.0;402;464;556
MB50;Réfrigérateur compact hôtellerie - 42 L - 1 porte - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_mb50.pdf;340.48;<h2>Mini-bar d'hôtel - 1 porte pleine - 42 l</h2> <p>Discret et performant, ce réfrigérateur compact AFI COLLIN-LUCY est la solution idéale pour équiper chambres d'hôtel et espaces de service.</p> <h3>Équipements et finitions</h3><ul> <li>TRÈS SILENCIEUX</li> <li>PORTE RÉVERSIBLE</li> <li>Réfrigération à absorption NH3 (Ammoniac)</li> <li>Éclairage LED</li> <li>Serrure de porte</li> <li>Température +5°C/+12°C</li> <li>Dégivrage automatique</li> <li>Gaz ammoniac</li> <li>Joints de portes clipsés</li> <li>Dotation : 2 clayettes</li> <li>Nb Clayettes : 3</li> <li>Capacité : 42 L</li> <li>Puissance : 90 W</li> <li>Poids: 20 kg</li> <li>Dimensions (L x P x H) : 402 x 464 x 666 mm</li> </ul>;1;20;20;532.0;532.0;402;464;666
RCG30A;Mini-bar hôtellerie professionnel - 24 L - 1 porte - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_rcg30a.pdf;318.08;<h2>Mini-bar d'hôtel - 1 porte vitrée - 24 l</h2> <p>Ce mini-bar AFI COLLIN-LUCY est conçu pour l'hôtellerie et la restauration, offrant une réfrigération silencieuse et efficace dans un format compact.</p> <h3>Équipements et finitions</h3><ul> <li>TRÈS SILENCIEUX</li> <li>PORTE RÉVERSIBLE</li> <li>Réfrigération à absorption NH3 (Ammoniac)</li> <li>Éclairage LED</li> <li>Serrure de porte</li> <li>Température +5°C/+12°C</li> <li>Dégivrage automatique</li> <li>Gaz ammoniac</li> <li>Joints de portes clipsés</li> <li>Dotation : 2 clayettes</li> <li>Nb Clayettes : 1</li> <li>Capacité : 24 L</li> <li>Puissance : 65 W</li> <li>Poids: 17 kg</li> <li>Dimensions (L x P x H) : 402 x 439 x 496 mm</li> </ul>;1;20;20;497.0;497.0;402;439;496
RCG40A;Réfrigérateur compact hôtellerie - 34 L - 1 porte - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_rcg40a.pdf;327.68;<h2>Mini-bar d'hôtel - 1 porte vitrée - 34 l</h2> <p>Ce mini-bar AFI COLLIN-LUCY est conçu pour l'hôtellerie et la restauration, offrant une réfrigération silencieuse et efficace dans un format compact.</p> <h3>Équipements et finitions</h3><ul> <li>TRÈS SILENCIEUX</li> <li>PORTE RÉVERSIBLE</li> <li>Réfrigération à absorption NH3 (Ammoniac)</li> <li>Éclairage LED</li> <li>Serrure de porte</li> <li>Température +5°C/+12°C</li> <li>Dégivrage automatique</li> <li>Gaz ammoniac</li> <li>Joints de portes clipsés</li> <li>Dotation : 2 clayettes</li> <li>Nb Clayettes : 2</li> <li>Capacité : 34 L</li> <li>Puissance : 65 W</li> <li>Poids: 19 kg</li> <li>Dimensions (L x P x H) : 402 x 464 x 556 mm</li> </ul>;1;20;20;512.0;512.0;402;464;556
